diplom,nom_diplome,secteur_discipline_oraccle,secteur_discipline_sise
R015576,OPERATEURS DE TRANSPORTS MULTIMODAUX ET INTERNATIONAUX (CNAM),47,39
R012353,RESPONSABLE D'ACTIVITES OU D'ENTREPRISES TOURISTIQUES (IPAC),48,39
R015094,CHARGE DU MARKETING ET DE COMMUNICATION,44,39
R014598,MANAGER EN HOTELLERIE INTERNATIONALE (VATEL),48,39
R014599,DIRECTEUR EN HOTELLERIE INTERNATIONALE (VATEL),48,39
9022348,CERTIFICATS D'ECOLES EN ACCUEIL- HOTELLERIE- TOURISME - BAC+2 A BAC+3,48,39
9085647,MASTERS OF TRANSPORT- LOGISTIQUE - BAC+5 A BAC+6 ET PLUS,47,39
2500097,ETUDES EUROPEENNES ET INTERNATIONALES,23,67
R023623,TP TECHNICIEN SUPERIEUR EN TRANSPORT TERRESTRE DE MARCHANDISES (MINISTERE CHARGE DE L'EMPLOI- DGEFP),47,39
R022929,DECLARANT EN DOUANE ET CONSEIL (AFTRAL),47,39
R022923,RESPONSABLE PRODUCTION TRANSPORT ET LOGISTIQUE,47,39
R023624,TP TECHNICIEN SUPERIEUR EN TRANSPORT AERIEN MARITIME (MINISTERE CHARGE DE L'EMPLOI- DGEFP),47,39
R012049,RESPONSABLE MARKETING ET COMMERCIAL(E) DE LA MODE ET DU LUXE (MOD'ART - RESEAU GES),44,39
9023544,CERTIFICATS D'ECOLES EN COMMERCE- VENTE - BAC+3 A BAC+5,44,39
R016651,MANAGER DU MARKETING ET DE LA COMMUNICATION (PPA - RESEAU GES),44,39
R027102,RESPONSABLE MARKETING ET COMMUNICATION (PPA - RESEAU GES),44,39
R014386,ANIMATEUR FORMATEUR POUR LES ENTREPRISES DE LA BEAUTE (ISIPCA),44,39
R023936,RESPONSABLE DE DEVELOPPEMENT COMMERCIAL (CCI FRANCE - RESEAU NEGOVENTIS),44,39
9172307,BACHELOR OF EN DIETETIQUE & NUTRITION APPLIQUEES - BAC+2 A BAC+3,07,06
2400057,INTERVENTION SOCIALE : ACCOMPAGNEMENT DE PUBLICS SPECIFIQUES,06,66
2222409,ARTS- LETTRES- LANGUES : ARTS,19,21
2222428,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,27,28
2214931,SCIENCES HUMAINES ET SOCIALES : ADMINISTRATEUR DES INSTITUTIONS DE RECHERCHE ET DE DIFFUSION DES CONNAISSANCES (ADMIRE),37,66
2223967,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE LA MATIERE,03,43
2222417,SCIENCES HUMAINES ET SOCIALES : SCIENCES DU LANGAGE,26,17
2222415,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,26,35
2222425,SCIENCES HUMAINES ET SOCIALES : FINANCE,27,38
2223949,SCIENCES HUMAINES ET SOCIALES : ECONOMIE QUANTITATIVE,66,38
8000056,DIPLOME DE L'ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,33,66
2204642,SCIENCES HUMAINES ET SOCIALES : EVOLUTION- PATRIMOINE NATUREL ET SOCIETES,30,35
2204643,SCIENCES HUMAINES ET SOCIALES : EVOLUTION- PATRIMOINE NATUREL ET SOCIETES,35,30
2223968,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2223973,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2224826,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2223972,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2223974,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2223971,SCIENCES ET TECHNOLOGIE- SANTE : INFORMATION- SYSTEMES ET TECHNOLOGIE,14,15
2225416,SCIENCES- TECHNOLOGIES- SANTE : RECHERCHE EN INFORMATIQUE,01,14
2225236,SCIENCES HUMAINES ET SOCIALES : LETTRES,64,19
2225381,SCIENCES HUMAINES ET SOCIALES : HUMANITES ET SCIENCES,26,66
2226073,SCIENCES HUMAINES ET SOCIALES : LETTRES,67,19
2225432,SCIENCES- TECHNOLOGIES- SANTE : BIOLOGIE MOLECULAIRE ET CELLULAIRE,69,06
2226107,SCIENCES- TECHNOLOGIES- SANTE : SCIENCES DE L'UNIVERS- ENVIRONNEMENT- ECOLOGIE,05,06
2500096,SCIENCES COGNITIVES,AA,32
2500170,PHYSIQUE,43,02
2500002,MONNAIE- BANQUE- FINANCE- ASSURANCE,38,63
9093380,AUTRES DIPLOMES EN VETERINAIRE - BAC+3,90,80
9020369,CERTIFICATS D'ECOLES EN PLURI SC DE LA VIE- DE LA SANTE- DE LA TERRE ET DE L'UNIVERS - BAC A BAC+3,90,69
2203994,SCIENCES- TECHNOLOGIES- SANTE : MATERIAUX ET NANOSCIENCES,16,43
8000149,DIPLOME D'ARCHITECTE DE L'INSA,29,12
2216544,SCIENCES ET TECHNOLOGIE : SCIENCES POUR L'ENERGIE,AA,16
2500233,SCIENCES DE L'EAU,70,05
2500235,AGROSCIENCES- ENVIRONNEMENT- TERRITOIRES- PAYSAGE- FORET,06,29
2207093,SCIENCES- TECHNOLOGIES- SANTE : TECHNICO-ECONOMIE DE L'ENERGIE ET DE L'INNOVATION,AA,39
6000289,INGENIEUR DIPLOME DE L'ECOLE POLYTECHNIQUE,68,16
9020229,CERTIFICATS D'ECOLES EN AMENAGEMENT - BAC A BAC+2,90,29
9020129,CERTIFICATS D'ECOLES EN AMENAGEMENT - BAC A BAC+1,90,29
9092541,AUTRES DIPLOMES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC+2 A BAC+5,90,41
9090441,AUTRES DIPLOMES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC A BAC+4,90,41
9023341,CERTIFICATS D'ECOLES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC+3,90,41
9022270,CERTIFICATS D'ECOLES EN PLURI SCIENCES - BAC+2,90,70
9092315,AUTRES DIPLOMES EN ELECTRONIQUE- GENIE ELECTRIQUE- EEA - BAC+2 A BAC+3,90,15
9090341,AUTRES DIPLOMES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC A BAC+3,90,41
9093541,AUTRES DIPLOMES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC+3 A BAC+5,90,41
9095641,AUTRES DIPLOMES EN FORMATION GENERALE AUX METIERS DE L'INGENIEUR - BAC+5 A BAC+6 ET PLUS,90,41
4200001,MATHEMATIQUES,99,01
6000546,INGENIEUR DIPLOME DU CENTRE D'ETUDES SUPERIEURES INDUSTRIELLES- SPECIALITE BATIMENT ET TRAVAUX PUBLICS,99,16
9075616,MASTERES SPECIALISES EN SCIENCES ET TECHNOLOGIES INDUSTRIELLES - BAC+5 A BAC+6 ET PLUS,99,16
6000376,INGENIEUR DIPLOME DU CESI,99,16
9093568,AUTRES DIPLOMES EN PLURI SCIENCES FONDAMENTALES ET APPLICATIONS - BAC+3 A BAC+5,90,68
9170368,BACHELORS OF EN PLURI SCIENCES FONDAMENTALES ET APPLICATIONS  - BAC A BAC+3,91,68
2500222,BIO-INFORMATIQUE,07,06
9084514,MASTERS OF EN INFORMATIQUE - BAC+4 A BAC+5,90,14
9023314,CERTIFICATS D'ECOLES EN INFORMATIQUE - BAC+3,90,14
9092306,AUTRES DIPLOMES EN SCIENCES DE LA VIE- BIOLOGIE- SANTE - BAC+2 A BAC+3,90,06
9092442,AUTRES DIPLOMES EN MATHEMATIQUES ET INFORMATIQUE - BAC+2 A BAC+4,90,42
9170316,BACHELORS OF EN SCIENCES ET TECHNOLOGIE INDUSTRIELLES  - BAC A BAC+3,91,16
9075633,MASTERES SPECIALISES EN SOCIOLOGIE- DEMOGRAPHIE - BAC+5 A BAC+6 ET PLUS,90,33
9022215,CERTIFICATS D'ECOLE EN ELECTRONIQUE- GENIE ELECTRIQUE- EEA - BAC+2,90,15
9083506,MASTERS OF SCIENCES DE LA VIE- BIOLOGIE- SANTE - BAC+3 A BAC+5,90,06
9024569,CERTIFICATS D'ECOLES EN PLURI SCIENCES DE LA VIE- DE LA SANTE- DE LA TERRE ET DE L'UNIVERS - BAC+4 A BAC+5,90,69
9170312,BACHELORS OF EN GENIE CIVIL - BAC A BAC+3,91,12
9170315,BACHELOR OF EN ELECTRONIQUE- GENIE ELECTRIQUE- ELECTRON-ELECTROTECH-AUTOMATIQUE (EEA) - BAC A BAC+3,91,15
9092368,AUTRES DIPLOMES EN PLURI SCIENCES FONDAMENTALES ET APPLICATIONS - BAC+2 A BAC+3,90,68
9094516,AUTRES DIPLOMES EN SCIENCES ET TECHNOLOGIE INDUSTRIELLES - BAC+4 A BAC+5,90,16
9093416,AUTRES DIPLOMES EN SCIENCES ET TECHNOLOGIE INDUSTRIELLES - BAC+3 A BAC+4,90,16
9090246,AUTRES DIPLOMES EN RESSOURCES HUMAINES- GESTION DU PERSONNEL ET DE L'EMPLOI - BAC A BAC+2,90,39
9075628,MASTERES SPECIALISES EN GEOGRAPHIE - BAC+5 A BAC+6 ET PLUS,90,28
9084568,MASTERS OF PLURI SCIENCES FONDAMENTALES ET APPLICATIONS - BAC+4 A BAC+5,90,68
9024466,CERTIFICATS D'ECOLES EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC+4,90,66
9074666,MASTERES SPECIALISES EN PLURI SCIENCES HUMAINES ET SOCIALES - BAC+4 A BAC+6 ET PLUS,90,66
9090246,AUTRES DIPLOMES EN RESSOURCES HUMAINES- GESTION DU PERSONNEL ET DE L'EMPLOI - BAC A BAC+2,46,39
M000095,BACHELOR EN SCIENCES DU MANAGEMENT - DIPLOME D'ETUDES SUPERIEURES EN MANAGEMENT INTERNATIONAL DE L'EM LYON BUSINESS SCHOOL,99,39
M000057,DIPLOME DE L'ECOLE SUPERIEURE DU COMMERCE EXTERIEUR DE PARIS - PGE,99,39
R016629,RESPONSABLE DU MANAGEMENT COMMERCIAL ET MARKETING (ISEFAC),44,39
R027377,MANAGER MARKETING ET DEVELOPPEMENT COMMERCIAL (MBA-MASTERE) (ESGCV - ESGCI),44,39
R018000,RESPONSABLE MARKETING ET COMMERCIAL (BACHELOR) (ESGCV - ESGCI),44,39
R025518,MANAGER DES RESSOURCES HUMAINES (SCIENCES-U/CRESPA - IPAC),46,39
R019365,RESPONSABLE COMMERCIAL EN AFFAIRES INTERNATIONALES (LA COMPAGNIE DE FORMATION - MBWAY),44,39
R019390,RESPONSABLE DE LA GESTION DES RESSOURCES HUMAINES (IPAC),46,39
R013596,RESPONSABLE DU DEVELOPPEMENT COMMERCIAL (LA COMPAGNIE DE FORMATION - PIGIER),44,39
R007434,CONSEILLER FINANCIER (SOFTEC),45,39
R021732,COLLABORATEUR COMPTABLE ET FINANCIER (IHECF),45,39
R016886,RESPONSABLE DE LA CHAINE LOGISTIQUE (ESPL),47,39
R027103,RESPONSABLE D'AFFAIRES COMMERCIALES ET DU DEVELOPPEMENT A L'INTERNATIONAL (PPA - RESEAU GES),44,39
R012309,RESPONSABLE COMMERCIAL POUR L'AGROALIMENTAIRE (ASSOCIATION RC2A),44,39
R023939,RESPONSABLE LOGISTIQUE AGROALIMENTAIRE (CCI FRANCE - RESEAU RLOG),47,39
