DISCIPLINE_SISE,LIBELLE_COURT,LIBELLE_DISCIPLINE_60,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,N_COMMENTAIRE
34,PL SANTE,PLURI SANTE,01/09/2010,,06/11/2009,
40,VETO,VETERINAIRE,01/09/2009,,12/02/2010,
90,INTERDISC,INTERDISCIPLINAIRE,01/09/2012,,06/02/2013,
01,DROIT-SC.P,DROIT - SCIENCES POLITIQUES,10/11/0901,,03/05/1996,
02,S.ECO-GEST,SCIENCES ECONOMIQUES - GESTION (HORS A.E.S.),10/11/0901,,03/05/1996,
03,A.E.S.,ADMINISTRATION ECONOMIQUE ET SOCIALE (A.E.S.),10/11/0901,,03/05/1996,
04,LETTR-ARTS,LETTRES - SCIENCES DU LANGAGE - ARTS,10/11/0901,,03/05/1996,
05,LANGUES,LANGUES,10/11/0901,,03/05/1996,
06,SC.HUM-SOC,SCIENCES HUMAINES ET SOCIALES,10/11/0901,,03/05/1996,
07,SC.STR.MAT,SCIENCES ET STRUCTURE DE LA MATIERE,10/11/0901,,07/04/2004,
08,SC.TEC-ING,SCIENCES ET TECHNOLOGIE - SCIENCES POUR L'INGENIEUR,10/11/0901,,07/04/2004,
09,SC.NAT-VIE,SCIENCES DE LA VIE- DE LA TERRE ET DE L'UNIVERS,10/11/0901,,01/04/2004,
10,STAPS,S.T.A.P.S.,10/11/0901,,03/05/1996,
11,MEDECINE,MEDECINE,10/11/0901,,03/05/1996,
12,ODONTO,ODONTOLOGIE,10/11/0901,,03/05/1996,
13,PHARMACIE,PHARMACIE,10/11/0901,,03/05/1996,
88,SANS OBJET,SANS OBJET,,,03/05/1996,
20,THEOLOGIE,THEOLOGIE,01/09/1999,,28/10/1999,
31,PL DRT ECO,PLURI DROIT - SCIENCES ECONOMIQUES - AES,01/09/2003,,05/04/2004,
32,PL LET LAN,PLURI LETTRES - LANGUES - SC HUMAINES,01/09/2003,,05/04/2004,
33,PL SCIENCE,PLURI SCIENCES,01/09/2003,,05/04/2004,
15,SC FOND AP,SCIENCES FONDAMENTALES ET APPLICATIONS,01/09/2003,,02/04/2004,
