Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
82456546900064;;;;28140302014;;inconnue;;;;Oui;;0;0;2024-04-21;;0142423H;0763535E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30296050500030;;;;;;inconnue;;;;Non;;0;0;2024-04-21;;0741556P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19260765300032;;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES DU VALENTIN;CTRE FORMATION PROF - PROMOTION AGRICOLE;8226P000426;actif;inconnue;2 AV DE VENTEROL 26110 NYONS;Grenoble;Auvergne-Rhône-Alpes;Oui;;2;0;2024-04-21;;0261351C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85402933700011;;;;11922313792;;inconnue;;;;Oui;;0;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88536845600038;;EDACADEMY;;04973264697;actif;inconnue;45 RUE ALEXIS DE VILLENEUVE 97400 SAINT-DENIS;La Réunion;La Réunion;Oui;;0;0;2024-04-20;;9741864H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92211396400014;;KARE;;11756649575;actif;inconnue;9 PL JACQUES MARETTE 75015 PARIS 15;Paris;Île-de-France;Oui;;0;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92230198100036;;;;76300517930;;inconnue;;;;Oui;;1;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95277953600012;;;;93132134613;;inconnue;;;;Oui;;0;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97773566100026;;FORMATECH;FORMATECH;11941209994;actif;inconnue;851 RUE DE BERNAU 94500 CHAMPIGNY-SUR-MARNE;Créteil;Île-de-France;Oui;;0;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98360992600016;;;;11950851095;;inconnue;;;;Oui;;0;0;2024-04-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18250023100036;;GIP FORMATION TOUT AU LONG DE LA VIE;;4325P005225;actif;inconnue;11 B RUE NICOLAS BRUAND 25000 BESANCON;Besançon;Bourgogne-Franche-Comté;Oui;;1;0;2024-04-19;;0251939X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90829089300035;;;;11922485092;;inconnue;;;;Oui;;0;0;2024-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94985565400016;;;;84692094269;;inconnue;;;;Oui;;0;0;2024-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92066711000018;;;;11941198994;;inconnue;;;;Oui;;0;0;2024-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94902954000018;;;;11941202594;;inconnue;;;;Oui;;0;0;2024-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87818779800029;;EQUILIBRES & MEDIATIONS;;11788467578;actif;responsable_formateur;99 BD DE LA REINE 78000 VERSAILLES;Versailles;Île-de-France;Non;;0;1;2024-04-19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91805138400017;;AGORRA FORMATIONS;AGORRA FORMATIONS;84692030369;actif;inconnue;12 RUE DE LA PART DIEU 69003 LYON 3EME;Lyon;Auvergne-Rhône-Alpes;Oui;;0;0;2024-04-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94992274400014;;CAMPUS AVENIR;CAMPUS AVENIR;76300545630;actif;inconnue;71 IMP ROBINSON 30900 NIMES;Montpellier;Occitanie;Oui;;0;0;2024-04-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42924994900232;;H & C CONSEIL;;83630337163;actif;responsable_formateur;42 RUE DEMOGE 11100 NARBONNE;Montpellier;Occitanie;Oui;;6;1;2024-04-18;;0111078M;0632071J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42196749800047;;ISART DIGITAL;;11753425875;fermé;inconnue;62 RUE DAMREMONT 75018 PARIS 18;Paris;Île-de-France;Oui;;0;0;2024-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79134676000055;;PSCH;;11921999592;actif;inconnue;19 ALL DE L EUROPE 92110 CLICHY;Versailles;Île-de-France;Oui;;1;0;2024-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91422918200011;;MLK BUSINESS COACHING;;11788553878;actif;inconnue;16 RUE MARTIN-LUTHER-KING 78500 SARTROUVILLE;Versailles;Île-de-France;Oui;;0;0;2024-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98417928300010;;CFORMATION;;24280218228;actif;inconnue;13 RUE DES MATINEES 28190 SAINT-GEORGES-SUR-EURE;Orléans-Tours;Centre-Val de Loire;Oui;;0;0;2024-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30902324000026;;LIGUE TENNIS DES PAYS DE LOIRE;;52850079185;actif;responsable_formateur;25 B RUE DES HALLES 85000 LA ROCHE-SUR-YON;Nantes;Pays de la Loire;Non;;0;1;2024-04-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19490962800019;;COLLEGE GEORGES GIRONDE;;;actif;formateur;RTE DE POUANCE 49500 SEGRE-EN-ANJOU BLEU;Nantes;Pays de la Loire;Non;;1;1;2024-04-17;;0490962E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33173384000044;;FEDERATION FRANCAISE DE BADMINTON;;11930420293;actif;inconnue;9 AV MICHELET 93400 SAINT-OUEN-SUR-SEINE;Créteil;Île-de-France;Oui;;0;0;2024-04-14;;0755999N;0932811A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92230198100028;;ECM ACADEMIE;ECMA;76300517930;actif;inconnue;1 B RUE MICHELET 30100 ALES;Montpellier;Occitanie;Oui;;0;0;2024-04-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97783984400015;;OFFICE E-FORMA;;84692155069;actif;inconnue;7 AV HENRI BARBUSSE 69120 VAULX-EN-VELIN;Lyon;Auvergne-Rhône-Alpes;Oui;;0;0;2024-04-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92252988800013;;LJ ACADEMIE;;11950858395;actif;inconnue;14 RUE PAUL CEZANNE 95330 DOMONT;Versailles;Île-de-France;Oui;;0;0;2024-04-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95348902800019;;TO THE MOON;SKILLS UP;11911018591;actif;inconnue;1 SQ DE PROVENCE 91380 CHILLY-MAZARIN;Versailles;Île-de-France;Oui;;0;0;2024-04-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98531224800018;;EMA FORMATION;;11756916175;actif;inconnue;61 RUE DE LYON 75012 PARIS 12;Paris;Île-de-France;Oui;;0;0;2024-04-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90001742700023;;SKILLSPLUS;;11756922275;actif;inconnue;266 AV DAUMESNIL 75012 PARIS 12;Paris;Île-de-France;Oui;;0;0;2024-04-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83033089000021;0673161X;HITCALL-FORMATION;HITCALL-FORMATION;44670597767;fermé;responsable_formateur;1 RUE RENE LAENNEC 67300 SCHILTIGHEIM;Strasbourg;Grand Est;Non;;0;1;2024-04-13;0673161X;0673161X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38937956100050;;CAMPUS PRO;CAMPUS PRO;31590270559;actif;responsable_formateur;141 RUE BERTHE MORISOT 59800 LILLE;Lille;Hauts-de-France;Oui;;2;1;2024-04-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82521171700053;;DIGITALCHIMIST;;76810156181;actif;inconnue;478 RUE DE LA DECOUVERTE 31670 LABEGE;Toulouse;Occitanie;Oui;;0;0;2024-04-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
